highway,Total_length,Total,Ratio
Residential,396.242289535608,NA,NA
Secondary,24.5395487534785,3,0.12225163674106891
Primary,44.9620603838929,12,0.2668916837338453
Unclassified,54.2681634602801,2,0.0368540203403758
Tertiary,39.0430439216015,2,0.05122551417906876
Trunk,29.8564020149146,5,0.16746827020557534
