highway,Total_length,Total,Ratio
Secondary,71.9405608566704,4,0.0556014569857098
Unclassified,259.360840812741,2,0.007711264328619308
Tertiary,365.961035302467,6,0.01639518806979272
Residential,1394.26180021444,NA,NA
Trunk,197.257444756616,10,0.050695171542642734
Primary,109.46476145311,7,0.06394751979611739
Motorway,79.2793074538568,NA,NA
