highway,Total_length,Total,Ratio
Residential,93614.8854537227,27,2.884156709602246e-4
Primary,14399.1850975768,45,0.003125176855152239
Secondary,14850.4374148533,21,0.0014140997610613123
Unclassified,60553.5578897969,41,6.77086556575537e-4
Trunk,18116.8665957585,2822,0.15576645029006753
Tertiary,37826.5902775916,45,0.0011896393428476137
Motorway,5912.32157745934,8168,1.3815216058511457
