highway,Total_length,Total,Ratio
Tertiary,184.160547364416,8,0.043440357419060285
Trunk,81.7964063553071,16,0.1956076154556134
Unclassified,181.115470583051,7,0.03864937643076785
Secondary,61.2992923881168,11,0.17944742217175105
Residential,778.423279788338,4,0.005138592464870327
Primary,77.6412343622838,16,0.20607606423852015
Motorway,3.31968658827298,NA,NA
