highway,Total_length,Total,Ratio
Trunk,34.5749710811997,2,0.05784531230128806
Primary,24.8412765560766,2,0.08051116034577395
Residential,221.962394618421,NA,NA
Tertiary,78.9934224901844,3,0.03797784556521492
Unclassified,150.437714053615,NA,NA
Secondary,5.81700575273264,1,0.1719097491918816
