highway,Total_length,Total,Ratio
Primary,50.8661776810812,173,3.4010811876738374
Trunk,51.158961782452,157,3.0688660310900313
Secondary,43.5720587652766,41,0.9409699968704183
Unclassified,102.55312356599,47,0.4582990587288814
Residential,573.748172838017,24,0.04183019857176225
Motorway,11.146553089086,1,0.08971383278828465
Tertiary,58.4772273917604,53,0.9063357201416804
