highway,Total_length,Total,Ratio
Residential,1997.50545101677,35,0.01752185456224131
Secondary,565.367221990966,20,0.035375237937510934
Unclassified,2918.51063536293,15,0.005139607791127572
Tertiary,2114.82147304596,95,0.0449210494648384
Trunk,761.758170679231,1704,2.2369303876066167
Motorway,186.385652327887,290,1.5559137539719818
Primary,496.40142302235,1058,2.131339579081676
