highway,Total_length,Total,Ratio
Residential,1729.04706350363,16,0.009253652105674089
Primary,464.061392885826,145,0.31245865789071264
Unclassified,1290.77097842742,9,0.006972576971760631
Tertiary,759.574455858086,90,0.11848739686529826
Secondary,490.815806903998,128,0.2607902968883729
Trunk,333.310592868378,46,0.1380094151948092
Motorway,165.198114353516,1,0.0060533378598986096
